Category,Book English,Book Hebrew,order,Chapters,Chapter_Value
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,1,31
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,2,25
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,3,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,4,26
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,5,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,6,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,7,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,8,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,9,29
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,10,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,11,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,12,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,13,18
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,14,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,15,21
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,16,16
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,17,27
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,18,33
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,19,38
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,20,18
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,21,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,22,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,23,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,24,67
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,25,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,26,35
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,27,46
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,28,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,29,35
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,30,43
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,31,54
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,32,33
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,33,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,34,31
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,35,29
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,36,43
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,37,36
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,38,30
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,39,23
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,40,23
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,41,57
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,42,38
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,43,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,44,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,45,28
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,46,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,47,31
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,48,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,49,33
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,50,26
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,1,22
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,2,25
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,3,22
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,4,31
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,5,23
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,6,30
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,7,29
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,8,28
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,9,35
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,10,29
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,11,10
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,12,51
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,13,22
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,14,31
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,15,27
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,16,36
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,17,16
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,18,27
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,19,25
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,20,26
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,21,37
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,22,30
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,23,33
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,24,18
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,25,40
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,26,37
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,27,21
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,28,43
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,29,46
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,30,38
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,31,18
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,32,35
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,33,23
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,34,35
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,35,35
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,36,38
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,37,29
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,38,31
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,39,43
cmrokiuhp0000f3hw2ua261dx,Exodus,שמות,2,40,38
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,1,17
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,2,16
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,3,17
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,4,35
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,5,26
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,6,23
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,7,38
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,8,36
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,9,24
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,10,20
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,11,47
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,12,8
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,13,59
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,14,57
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,15,33
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,16,34
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,17,16
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,18,30
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,19,37
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,20,27
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,21,24
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,22,33
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,23,44
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,24,23
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,25,55
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,26,46
cmrokiuhp0000f3hw2ua261dx,Leviticus,ויקרא,3,27,34
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,1,54
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,2,34
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,3,51
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,4,49
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,5,31
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,6,27
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,7,89
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,8,26
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,9,23
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,10,36
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,11,35
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,12,16
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,13,33
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,14,45
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,15,41
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,16,35
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,17,28
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,18,32
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,19,22
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,20,29
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,21,35
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,22,41
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,23,30
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,24,25
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,25,18
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,26,65
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,27,23
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,28,31
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,29,39
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,30,17
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,31,54
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,32,42
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,33,56
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,34,29
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,35,34
cmrokiuhp0000f3hw2ua261dx,Numbers,במדבר,4,36,13
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,1,46
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,2,37
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,3,29
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,4,49
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,5,33
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,6,25
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,7,26
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,8,20
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,9,29
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,10,22
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,11,32
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,12,31
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,13,19
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,14,29
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,15,23
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,16,22
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,17,20
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,18,22
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,19,21
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,20,20
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,21,23
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,22,29
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,23,26
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,24,22
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,25,19
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,26,19
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,27,26
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,28,69
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,29,28
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,30,20
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,31,30
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,32,52
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,33,29
cmrokiuhp0000f3hw2ua261dx,Deuteronomy,דברים,5,34,12
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,1,18
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,2,24
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,3,17
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,4,24
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,5,15
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,6,27
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,7,26
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,8,35
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,9,27
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,10,43
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,11,23
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,12,24
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,13,33
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,14,15
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,15,63
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,16,10
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,17,18
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,18,28
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,19,51
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,20,9
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,21,45
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,22,34
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,23,16
cmrokiuhp0000f3hw2ua261dy,Joshua,יהושע,1,24,33
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,1,36
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,2,23
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,3,31
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,4,24
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,5,31
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,6,40
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,7,25
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,8,35
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,9,57
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,10,18
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,11,40
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,12,15
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,13,25
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,14,20
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,15,20
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,16,31
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,17,13
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,18,31
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,19,30
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,20,48
cmrokiuhp0000f3hw2ua261dy,Judges,שופטים,2,21,25
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,1,28
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,2,36
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,3,21
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,4,22
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,5,12
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,6,21
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,7,17
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,8,22
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,9,27
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,10,27
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,11,15
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,12,25
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,13,23
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,14,52
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,15,35
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,16,23
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,17,58
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,18,30
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,19,24
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,20,42
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,21,16
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,22,23
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,23,28
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,24,23
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,25,43
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,26,25
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,27,12
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,28,25
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,29,11
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,30,31
cmrokiuhp0000f3hw2ua261dy,1 Samuel,שמואל א,3,31,13
cmrokiuhp0000f3hw2ua261dy,2 Samuel,שמואל ב,4,1,27
cmrokiuhp0000f3hw2ua261dy,2 Samuel,שמואל ב,4,2,32
